"gene","protein_class","molecular_action","key_substrates","subcellular","tissues","cell_types","pathways","ko_phenotype","ko_severity","neural_phenotype","cerebellar_evidence","cancer_types","cancer_role","neuro_disease","differentiation_role","one_line_summary"
"Tctn3","other","component of tectonic complex at ciliary transition zone; regulates ciliary membrane composition; required for Shh signaling transduction; may regulate apoptosis","Shh pathway components (downstream)","primary cilium (transition zone); plasma membrane","brain; kidney; limb; craniofacial structures","ciliated cells; neural progenitors; cerebellar neurons","Hedgehog/Shh signaling; ciliogenesis; apoptosis regulation","KO mice: disrupted neural tube development; cerebellar defects (Tctn3 KO study)","severe (lethal in severe ciliopathy models)","neural tube defects; cerebellar malformations (Tctn3 KO); Joubert syndrome (hindbrain/cerebellar vermis agenesis); Meckel-Gruber syndrome","Tctn3 KO causes cerebellar defects; Joubert syndrome involves cerebellar vermis agenesis (molar tooth sign)","papillary thyroid carcinoma (STAT1-TCTN3 axis); non-small cell lung cancer","oncogenic in PTC (STAT1 drives TCTN3; promotes proliferation/invasion); lung cancer (Shh pathway)","Joubert syndrome type 18 (cerebellar vermis agenesis); Meckel-Gruber syndrome; orofaciodigital syndrome IV","required for Shh-dependent GNP proliferation (transition zone component for Shh signaling); expressed in GNPs","Ciliary transition zone protein essential for Shh signal transduction; mutations cause Joubert syndrome with cerebellar malformation."
"Tfap2c","transcription factor","binds GCC-containing enhancers; activates/represses target genes; regulates trophectoderm and ICM differentiation; regulates cell polarity genes at 8-cell stage; acts with CDX2 and SOX2","CDX2; SOX2; KLF5; GATA2/3; PI3K/AKT/mTOR targets (downstream)","nucleus","placenta/trophoblast; germ cells; brain (glioblastoma)","trophectoderm; ICM; primordial germ cells; GBM cells","Trophectoderm differentiation; naive pluripotency; PI3K/AKT/mTOR; ferroptosis","KO: failure of trophectoderm differentiation; defective inner cell mass; embryonic lethal","severe (embryonic lethal)","GBM: knockdown reduces proliferation, migration, invasion, EMT","none specific","glioblastoma; breast cancer (HER2+); seminoma; bladder cancer; cervical cancer; medulloblastoma (ferroptosis context)","oncogenic in GBM (promotes PMI/EMT via PI3K/AKT/mTOR); oncogenic in breast cancer; drives seminoma identity","none reported","master regulator of trophectoderm vs ICM fate at blastocyst stage; also expressed in GNPs (H3K27me3=1, suggesting polycomb repression during differentiation)","AP-2gamma transcription factor essential for trophectoderm specification and acting as oncogene in glioblastoma and breast cancer."
"Tfpi2","protease","Kunitz-type serine protease inhibitor; inhibits trypsin, plasmin, factor VIIa/TF complex, weakly factor Xa; regulates plasmin-mediated ECM remodeling","trypsin; plasmin; factor VIIa/TF; factor Xa","extracellular; ECM; secreted","placenta; liver; skin; vasculature; intestine; brain (low)","trophoblast; smooth muscle cells; fibroblasts; hepatocytes; enteric neural crest cells","Coagulation (TF pathway inhibition); fibrinolysis; ECM remodeling; senescence (CDC6 pathway); hedgehog signaling (NSCLC context)","KO mice: not yet characterized; depletion accelerates fibroblast senescence and skin aging","moderate","expressed in enteric nervous system/neural crest context (HSCR); no primary neural phenotype reported","none specific","hepatocellular carcinoma; breast cancer; NSCLC; cervical cancer","tumor suppressor in breast cancer and HCC (loss associated with poor survival; TFPI2 loss increases sorafenib resistance in HCC)","Hirschsprung disease (loss of TFPI2 in enteric neural crest cells)","expressed in trophoblast; may regulate ECM remodeling during placental differentiation; anti-senescence role in fibroblasts","Secreted Kunitz-type inhibitor of coagulation proteases that suppresses tumor invasion and acts as a tumor suppressor in multiple cancers."
"Tgfa","secreted factor","ligand for EGFR/ErbB1; EGF-like mitogen; promotes cell proliferation and anchorage-independent growth synergistically with TGF-beta","EGFR (receptor)","extracellular; cell surface (membrane-anchored precursor)","skin (keratinocytes); liver; brain; GI tract; pancreas","keratinocytes; hepatocytes; tumor cells","EGFR/RAS/MAPK; PI3K/AKT; wound healing; autophagy","TGFA KO mice: wavy hair, wavy whiskers, eye defects (similar to waved-1 phenotype); viable","mild-moderate","wavy whiskers/hair; eye abnormalities (waved-1); no severe neural phenotype","none specific","hepatocellular carcinoma; colorectal cancer; pancreatic cancer; cervical cancer; osteosarcoma; lung cancer","oncogenic growth factor; overexpressed in multiple cancers; promotes proliferation and metastasis via EGFR","none reported","expressed during wound healing; promotes keratinocyte proliferation; role in trophoblast differentiation (Rubinstein-Taybi context)","EGF-family mitogen that activates EGFR to drive proliferation and is overexpressed as an autocrine growth factor in multiple cancers."
"Tgfbr3","receptor","TGF-beta superfamily co-receptor; presents TGF-beta1, BMP2/5/7, GDF5, inhibin A to signaling receptors; regulates BMPR1A/B trafficking; promotes focal adhesion via integrin signaling; activates CDC42; inhibits NF-kB via beta-arrestin2","TGFB1; BMP2; BMP5; BMP7; GDF5; inhibin A; BMPR1A; BMPR1B; ARRB2 (beta-arrestin2); CDC42; integrins","cell surface; plasma membrane","gonad; heart; liver; lung; brain; GI tract; broad","gonadotrope cells; epithelial cells; cancer cells","TGF-beta signaling; BMP signaling; inhibin signaling; Hippo/YAP; integrin/focal adhesion; NF-kB","KO mice: embryonic lethal (cardiovascular defects); reduced FSH levels and female infertility in conditional KO","severe (embryonic lethal)","none specific beyond general TGF-beta pathway roles","none specific","mesothelioma; gastric cancer; esophageal SCC","tumor suppressor (commonly lost/reduced expression in cancers); TGFBR3 rearrangements in myxoinflammatory fibroblastic sarcoma","none reported","expressed in differentiated granule neurons (max_cat P14_P56); upregulated with GNP differentiation; H3K27me3=1 suggesting polycomb repression in progenitors","TGF-beta/BMP superfamily co-receptor that acts as tumor suppressor and is upregulated during GNP differentiation."
"Thada","enzyme","tRNA 2'-O-ribose methyltransferase (in complex with FTSJ1); methylates anticodon loop nucleotide 32 of specific tRNAs; rearranged as fusion gene in thyroid adenoma","tRNA (position 32 of anticodon loop); FTSJ1","nucleus/cytoplasm","thyroid; broad","thyroid follicular cells; beta cells; broad","tRNA modification; protein synthesis regulation; PD-L1 regulation (colorectal cancer)","THADA fusions in thyroid adenoma; SNPs at THADA locus associated with T2D (beta cell function/insulin secretion)","mild-moderate (fusion oncogene; SNP risk)","none reported","none specific","thyroid adenoma; thyroid carcinoma (follicular variant); juvenile myelomonocytic leukemia (JMML); colorectal cancer","oncogenic via gene fusion (THADA-IGF2BP3 in thyroid); promotes PD-L1 expression in CRC; cardiac glycosides suppress THADA to inhibit cancer proliferation","none reported","expressed in proliferating GNPs; no specific differentiation role described","tRNA methyltransferase rearranged as oncogenic fusion in thyroid adenoma and implicated in T2D beta cell susceptibility loci."
"Thap4","enzyme","peroxynitrite isomerase (converts peroxynitrite to nitrate); heme/NO-binding protein; scavenges ROS/RNS; may modulate transcriptional activity of N-terminal THAP domain","peroxynitrite; NO; L-tyrosine (protects from nitration)","nucleus; cytoplasm","ubiquitous (low expression)","broad","broad","ROS/RNS detoxification; NO signaling; transcription regulation (THAP domain)","Thap4 frameshift mutation in rat causes dwarfism, testicular anomalies, severe thymic hypoplasia, high postnatal lethality","severe (postnatal lethal in rat)","severe thymic hypoplasia; dwarfism; testicular anomalies (rat KO)","2q37 microdeletion syndrome (neurodevelopmental delay, bone, cardiovascular, neurological)","peripheral T-cell lymphoma (VAV1-THAP4 fusion); congenital pulmonary airway malformation (WES)","VAV1-THAP4 fusion activates VAV1 GEF activity driving T-cell lymphoma","ALS (elevated pre-diagnostic plasma protein); 2q37 microdeletion syndrome (neurodevelopmental delay)","no specific differentiation role; expressed in proliferating GNPs Heme-binding peroxynitrite isomerase with THAP transcription domain; mutations cause severe developmental defects in rat; VAV1-THAP4 fusion in T-cell lymphoma."
"Thap7","transcription factor","histone tail-binding transcriptional repressor; recruits HDAC3 and nuclear hormone receptor corepressors to silence target genes; inhibits TAF1 HAT activity (shared family function)","histone H4 (via HiNF-P interaction); TAF1 (indirectly, family context); HDAC3","nucleus; chromatin","ubiquitous","proliferating cells","Transcriptional repression; HDAC3 corepressor recruitment; cell cycle (histone H4 gene regulation context); HCV replication","HEK-293 THAP7 KO: viable but transcriptional changes; no major proliferation defect described","mild","none specific","none specific","lung adenocarcinoma; ovarian cancer; gastric cancer (via THAP7-AS1 lncRNA); glioblastoma (dataset)","THAP7 acts as tumor suppressor in LUAD (KD increases proliferation/colony formation); THAP7-AS1 lncRNA is oncogenic in gastric and ovarian cancer","none reported","no specific differentiation role described","Chromatin-associated transcriptional repressor recruiting HDAC3; THAP7-AS1 antisense lncRNA is oncogenic in gastric and ovarian cancer."
"Tigd2","other","domesticated DNA transposase (pogo superfamily); transcription factor-like DNA binding (THAP-related); no defined mammalian function yet","unknown","nucleus (predicted)","ubiquitous (low/variable)","broad","unknown; possible chromatin/DNA binding","no mammalian KO data available","unknown","none reported","none specific","none reported","no cancer role established","none reported","no differentiation role described","Domesticated pogo-superfamily transposase of unknown mammalian function, expressed in proliferating GNPs with no defined substrate or pathway."
"Tiprl","scaffold/adaptor","allosteric inhibitor of PP2A, PP4, PP6 phosphatase complexes; inhibits PP2A(D) core; impairs PPP4C:PPP4R2 complex formation; promotes gamma-H2AX; regulates ATM/ATR DNA damage signaling; TOR pathway regulator","PP2A (catalytic C subunit); PP4C (PPP4C); PP6; gamma-H2AX (H2AX-S140)","cytoplasm; nucleus","liver; lung; brain; broad","hepatocytes; cancer cells","TOR signaling; PP2A/PP4/PP6 phosphatase regulation; DNA damage response (ATM/ATR, gamma-H2AX); autophagy (LC3)","no dedicated KO study; hybrid male sterility locus in mice (Hstx2); linked to meiotic recombination hotspot regulation via PRDM9","unknown","none specific","meningioma (macrophage-correlated module gene)","hepatocellular carcinoma; NSCLC; meningioma","oncogenic in HCC and NSCLC (overexpressed; KD reduces proliferation, promotes apoptosis; promotes autophagy/LC3/CD133)","none reported","highly expressed in proliferating GNPs (max_cat E15); no specific differentiation role described","PP2A/PP4/PP6 phosphatase inhibitor and TOR pathway regulator overexpressed in liver and lung cancers where it promotes survival."
